,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0001368622:2016:FY,AVAV,2016,0.0,0.0,8966000.0,8966000.0,8993000.0,0.0
0001368622:2017:FY,AVAV,2017,-22000.0,96000.0,12553000.0,12575000.0,12531000.0,0.0
0001368622:2018:FY,AVAV,2018,-216000.0,322000.0,20174000.0,20390000.0,19958000.0,0.0
0001368622:2019:FY,AVAV,2019,-19000.0,42000.0,47461000.0,47480000.0,47442000.0,0.0
0001368622:2020:FY,AVAV,2020,-4000.0,326000.0,41396000.0,41400000.0,0.0,0.0
0001368622:2021:FY,AVAV,2021,14000.0,15000.0,23360000.0,23346000.0,0.0,0.0
0001368622:2022:FY,AVAV,2022,3000.0,-6857000.0,-11042000.0,-11045000.0,0.0,0.0
0000915912:2011:FY,AVB,2011,0.0,-85593000.0,355777000.0,355777000.0,0.0,0.0
0000915912:2012:FY,AVB,2012,0.0,-20680000.0,402882000.0,402882000.0,0.0,0.0
0000915912:2013:FY,AVB,2013,0.0,59746000.0,412517000.0,412517000.0,0.0,0.0
0000915912:2014:FY,AVB,2014,0.0,-7644000.0,689683000.0,689683000.0,0.0,0.0
0000915912:2015:FY,AVB,2015,0.0,11433000.0,753166000.0,753166000.0,0.0,0.0
0000915912:2016:FY,AVB,2016,0.0,1171000.0,1034879000.0,1034879000.0,0.0,0.0
0000915912:2017:FY,AVB,2017,0.0,-6648000.0,870012000.0,870012000.0,0.0,0.0
0000915912:2018:FY,AVB,2018,0.0,11625000.0,985800000.0,985800000.0,0.0,0.0
0000915912:2019:FY,AVB,2019,0.0,-5488000.0,780615000.0,780615000.0,0.0,0.0
0000915912:2020:FY,AVB,2020,0.0,-8823000.0,818883000.0,818883000.0,0.0,0.0
0000915912:2021:FY,AVB,2021,0.0,14087000.0,1018443000.0,1018443000.0,0.0,0.0
0000005981:2011:FY,AVD,2011,0.0,0.0,22068000.0,22068000.0,0.0,0.0
